dish_id,rank_equal,shift_equal,rank_carbon_200,shift_carbon_200,rank_water_scarce,shift_water_scarce,rank_planetary,shift_planetary,rank_energy_only,shift_energy_only,rank_carbon_only,shift_carbon_only,rank_water_only,shift_water_only
fajita,89.0,0.0,88.0,1.0,89.0,0.0,88.0,1.0,108.0,19.0,82.0,7.0,91.0,2.0
falafel,113.0,0.0,84.0,29.0,98.0,15.0,90.0,23.0,138.0,25.0,31.0,82.0,86.0,27.0
fish_and_chips,126.0,0.0,116.0,10.0,113.0,13.0,113.0,13.0,145.0,19.0,99.0,27.0,73.0,53.0
french_fries,99.0,0.0,65.0,34.0,61.0,38.0,59.0,40.0,149.0,50.0,27.0,72.0,5.0,94.0
french_onion_soup,108.0,0.0,132.0,24.0,116.0,8.0,127.0,19.0,54.0,54.0,141.0,33.0,112.0,4.0
fresh_spring_roll,11.0,0.0,12.0,1.0,12.0,1.0,12.0,1.0,15.0,4.0,42.0,31.0,24.0,13.0
fried_chicken,134.0,0.0,135.0,1.0,135.0,1.0,136.0,2.0,141.0,7.0,125.0,9.0,134.0,0.0
fried_rice,72.0,0.0,79.0,7.0,77.0,5.0,77.0,5.0,88.0,16.0,80.0,8.0,85.0,13.0
gazpacho,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,4.0,5.0,16.0,7.0,18.0,9.0
gelato,14.0,0.0,15.0,1.0,15.0,1.0,15.0,1.0,2.0,12.0,50.0,36.0,34.0,20.0
general_tso,135.0,0.0,131.0,4.0,130.0,5.0,132.0,3.0,148.0,13.0,117.0,18.0,122.0,13.0
gnocchi,36.0,0.0,39.0,3.0,31.0,5.0,38.0,2.0,42.0,6.0,56.0,20.0,30.0,6.0
green_curry,93.0,0.0,106.0,13.0,120.0,27.0,112.0,19.0,34.0,59.0,102.0,9.0,135.0,42.0
grilled_cheese,59.0,0.0,66.0,7.0,48.0,11.0,65.0,6.0,76.0,17.0,85.0,26.0,40.0,19.0
guacamole,7.0,0.0,7.0,0.0,8.0,1.0,7.0,0.0,21.0,14.0,9.0,2.0,19.0,12.0
gyro,136.0,0.0,140.0,4.0,141.0,5.0,140.0,4.0,122.5,13.5,140.0,4.0,142.0,6.0
hamburger,152.0,0.0,153.0,1.0,151.0,1.0,151.0,1.0,106.5,45.5,153.0,1.0,151.0,1.0
hot_and_sour_soup,34.0,0.0,29.0,5.0,28.0,6.0,28.0,6.0,68.0,34.0,26.0,8.0,26.0,8.0
hummus,21.0,0.0,18.0,3.0,47.0,26.0,27.0,6.0,7.0,14.0,4.0,17.0,107.0,86.0
ice_cream,20.0,0.0,27.0,7.0,23.0,3.0,26.0,6.0,8.0,12.0,75.0,55.0,52.0,32.0
japchae,105.0,0.0,124.0,19.0,108.0,3.0,123.0,18.0,72.0,33.0,139.0,34.0,108.0,3.0
katsu,132.0,0.0,128.0,4.0,133.0,1.0,130.0,2.0,143.0,11.0,101.0,31.0,133.0,1.0
kebab,144.0,0.0,144.0,0.0,147.0,3.0,144.0,0.0,93.0,51.0,143.0,1.0,149.0,5.0
kimbap,28.0,0.0,71.0,43.0,56.0,28.0,69.0,41.0,9.0,19.0,123.0,95.0,100.0,72.0
kimchi,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,13.0,12.0,1.0,0.0,2.0,1.0
kimchi_jjigae,57.0,0.0,57.0,0.0,65.0,8.0,61.0,4.0,65.0,8.0,54.0,3.0,76.0,19.0
korean_fried_chicken,148.0,0.0,139.0,9.0,144.0,4.0,139.0,9.0,152.0,4.0,133.0,15.0,140.0,8.0
