category,from_dish,to_dish,E_reduction_pct,H_change,E_from,E_to,H_from,H_to
Wrapped/Stuffed,tamale,sushi,53.35698369391865,-0.2729999999999997,0.1372645889738489,0.0640243446175479,7.247,6.974
Wrapped/Stuffed,arepa,fresh_spring_roll,65.7379771676221,-0.5084052214622501,0.1550682589430726,0.0531295222848464,7.62740522146225,7.119
Wrapped/Stuffed,arepa,sushi,58.71215356777044,-0.6534052214622497,0.1550682589430726,0.0640243446175479,7.62740522146225,6.974
Wrapped/Stuffed,manti_turkish,dumplings,50.94066878877048,-0.5493662906136212,0.3164032495057304,0.1552253181381092,7.629366290613621,7.08
Wrapped/Stuffed,manti_turkish,fresh_spring_roll,83.20828804133879,-0.5103662906136215,0.3164032495057304,0.0531295222848464,7.629366290613621,7.119
Wrapped/Stuffed,manti_turkish,naan,32.42433087021211,-0.42636629061362097,0.3164032495057304,0.2138116130018896,7.629366290613621,7.203
Wrapped/Stuffed,manti_turkish,pita,30.003047115113656,-0.5873662906136214,0.3164032495057304,0.2214726334827755,7.629366290613621,7.042
Wrapped/Stuffed,manti_turkish,sushi,79.76495351499594,-0.6553662906136211,0.3164032495057304,0.0640243446175479,7.629366290613621,6.974
Wrapped/Stuffed,manti_turkish,tamale,56.61719998505802,-0.3823662906136214,0.3164032495057304,0.1372645889738489,7.629366290613621,7.247
Wrapped/Stuffed,manti_turkish,arepa,50.990307721139835,-0.0019610691513713974,0.3164032495057304,0.1550682589430726,7.629366290613621,7.62740522146225
Wrapped/Stuffed,manti_turkish,pierogi,54.984228593798846,-0.23099571065565883,0.3164032495057304,0.1424313635192919,7.629366290613621,7.398370579957962
Wrapped/Stuffed,manti_turkish,pupusa,38.18079550781579,-0.19312215118071396,0.3164032495057304,0.1955979718318633,7.629366290613621,7.436244139432907
Wrapped/Stuffed,manti_turkish,roti_caribbean,37.806350107763905,-0.6803422930683789,0.3164032495057304,0.1967827292452522,7.629366290613621,6.949023997545242
Wrapped/Stuffed,pierogi,fresh_spring_roll,62.69815792527312,-0.27937057995796266,0.1424313635192919,0.0531295222848464,7.398370579957962,7.119
Wrapped/Stuffed,pierogi,sushi,55.048984271728884,-0.42437057995796224,0.1424313635192919,0.0640243446175479,7.398370579957962,6.974
Wrapped/Stuffed,pupusa,fresh_spring_roll,72.83738589553643,-0.3172441394329075,0.1955979718318633,0.0531295222848464,7.436244139432907,7.119
Wrapped/Stuffed,pupusa,sushi,67.26737807251733,-0.4622441394329071,0.1955979718318633,0.0640243446175479,7.436244139432907,6.974
Wrapped/Stuffed,roti_caribbean,fresh_spring_roll,73.00092213954885,0.1699760024547574,0.1967827292452522,0.0531295222848464,6.949023997545242,7.119
Wrapped/Stuffed,roti_caribbean,sushi,67.46444931264584,0.02497600245475784,0.1967827292452522,0.0640243446175479,6.949023997545242,6.974
Wrapped/Stuffed,roti_caribbean,tamale,30.245611746356694,0.2979760024547575,0.1967827292452522,0.1372645889738489,6.949023997545242,7.247
Wrapped/Stuffed,tiropita,dumplings,45.04738717159186,-0.686863490961775,0.2824712241123217,0.1552253181381092,7.766863490961775,7.08
Wrapped/Stuffed,tiropita,fresh_spring_roll,81.19117356048983,-0.6478634909617753,0.2824712241123217,0.0531295222848464,7.766863490961775,7.119
Wrapped/Stuffed,tiropita,sushi,77.33420640677745,-0.7928634909617749,0.2824712241123217,0.0640243446175479,7.766863490961775,6.974
Wrapped/Stuffed,tiropita,tamale,51.40581508604674,-0.5198634909617752,0.2824712241123217,0.1372645889738489,7.766863490961775,7.247
Wrapped/Stuffed,tiropita,arepa,45.1029890105155,-0.13945826949952522,0.2824712241123217,0.1550682589430726,7.766863490961775,7.62740522146225
Wrapped/Stuffed,tiropita,pierogi,49.57668202596963,-0.36849291100381265,0.2824712241123217,0.1424313635192919,7.766863490961775,7.398370579957962
Wrapped/Stuffed,tiropita,pupusa,30.754726451680664,-0.3306193515288678,0.2824712241123217,0.1955979718318633,7.766863490961775,7.436244139432907
Wrapped/Stuffed,tiropita,roti_caribbean,30.335300573128947,-0.8178394934165327,0.2824712241123217,0.1967827292452522,7.766863490961775,6.949023997545242
Soup/Stew,clam_chowder,minestrone,38.90687573432333,-0.21999999999999975,0.1957745939328879,0.1196048159520431,6.858,6.638
Soup/Stew,clam_chowder,miso_soup,44.296683882240224,0.1070000000000002,0.1957745939328879,0.1090529409366971,6.858,6.965
Soup/Stew,clam_chowder,callaloo,38.933113861705735,0.5675844928600178,0.1957745939328879,0.1195534483647046,6.858,7.425584492860017
Soup/Stew,pozole,minestrone,34.065178260917534,-0.5990000000000002,0.1813985581478384,0.1196048159520431,7.237,6.638
Soup/Stew,pozole,miso_soup,39.88213464860079,-0.27200000000000024,0.1813985581478384,0.1090529409366971,7.237,6.965
Soup/Stew,pozole,callaloo,34.0934957888312,0.18858449286001733,0.1813985581478384,0.1195534483647046,7.237,7.425584492860017
Soup/Stew,borscht,minestrone,47.9900232981954,-0.8898904466629025,0.2299651404148642,0.1196048159520431,7.527890446662902,6.638
Soup/Stew,borscht,miso_soup,52.57849048774861,-0.5628904466629026,0.2299651404148642,0.1090529409366971,7.527890446662902,6.965
Soup/Stew,borscht,tom_yum,32.95131514767743,-0.4418904466629021,0.2299651404148642,0.1541886022669634,7.527890446662902,7.086
Soup/Stew,borscht,callaloo,48.01236041731086,-0.10230595380288499,0.2299651404148642,0.1195534483647046,7.527890446662902,7.425584492860017
Soup/Stew,chili,clam_chowder,61.829117381713985,-0.21790654782870256,0.5128898796778169,0.1957745939328879,7.075906547828702,6.858
Soup/Stew,chili,minestrone,76.68021524870494,-0.4379065478287023,0.5128898796778169,0.1196048159520431,7.075906547828702,6.638
Soup/Stew,chili,miso_soup,78.73755259019711,-0.11090654782870235,0.5128898796778169,0.1090529409366971,7.075906547828702,6.965
Soup/Stew,chili,pozole,64.63206521801757,0.1610934521712979,0.5128898796778169,0.1813985581478384,7.075906547828702,7.237
