dish_id,E_original,E_mc_mean,E_mc_median,E_mc_p5,E_mc_p25,E_mc_p75,E_mc_p95,E_90CI_width,E_relative_uncertainty
nachos,0.2693445432591771,0.21780766984043948,0.21440139822806084,0.1533162301461561,0.18737829350454166,0.24435489077982187,0.29249441260884895,0.13917818246269284,0.6491477369688031
okonomiyaki,0.1942506282035568,0.15346290640887364,0.15087059057662208,0.10852691162000247,0.13211811981173807,0.1719950350061205,0.20767891468814936,0.0991520030681469,0.6571990120088443
onigiri,0.0556931760085771,0.034723109112668,0.03295911883867263,0.017019041537862815,0.02540259767692435,0.04210948142622778,0.05871584212261126,0.04169680058474844,1.265106654969897
orange_chicken,0.3702907257974551,0.29946224693547197,0.2945461735589737,0.21125511874136096,0.2575502968102535,0.336387923186691,0.40451575939733736,0.1932606406559764,0.6561302030198738
osso_buco,0.934,0.7227321350962395,0.730237380377885,0.4569315681554045,0.5977689149311571,0.8580896850925532,0.9538647578498409,0.49693318969443645,0.6805091098421753
pad_see_ew,0.2391870645940731,0.18618620672871783,0.18393898978354672,0.1331582325116298,0.1613378509977569,0.2081855815170443,0.24784165324563642,0.11468342073400661,0.6234861943569563
pad_thai,0.2390955383002528,0.18829336415129094,0.18460147316137673,0.1338323378041351,0.16139410853501263,0.21158007880024496,0.2548174455227946,0.12098510771865953,0.6553853858625255
paella,0.2576096497632017,0.1987811280103983,0.19565087395523728,0.1405855815025839,0.17133109192080492,0.22289769699650314,0.26629106470195835,0.12570548319937444,0.6424989608180051
palak_paneer,0.2075051881169707,0.1604889531817015,0.15683122578797565,0.11004183990398672,0.13600916933885154,0.1804933958402014,0.2245386191902374,0.11449677928625068,0.7300636637313666
pancake,0.1740145033925502,0.13815178846132073,0.13568230751856364,0.09907012561380163,0.1192712954628685,0.15460487012103674,0.18565521145538277,0.08658508584158114,0.6381457348795077
paneer_tikka,0.2850173554547919,0.22495411233151805,0.2196813464539008,0.15330417752177,0.18858317282649822,0.2544299474174522,0.31677812015094725,0.16347394262917725,0.7441412084729805
panna_cotta,0.0769170517835727,0.0506356449836144,0.04753265542703071,0.024269679122602455,0.036448519225818536,0.0613648418356769,0.08751497765324003,0.06324529853063757,1.3305652285243765
papaya_salad,0.0108332800613693,0.0009999709171505345,0.0006865933349214041,1e-06,0.00028613710291482114,0.0014063197143731917,0.003089540987273954,0.003088540987273954,4.498355620692861
