dish_id,price_tier,n_mentions,H_mean,H_std
sushi,3,24,7.1117910742759705,1.4803977829068955
sweet_and_sour,1,174,6.396107059785689,2.188557732794978
sweet_and_sour,2,308,6.40625080659792,2.201123645836782
tabbouleh,1,145,7.08217675274816,1.6623304083253665
tabbouleh,2,300,7.469001452128093,1.2379727486509748
tabbouleh,3,27,7.624182224273682,1.2532711212752734
tabbouleh,4,16,7.491092801094055,0.9740732505589212
taco,1,163,6.875958621867595,1.8037799047367151
taco,2,308,7.12529322234067,1.674244866364645
takoyaki,1,44,7.405837059020996,1.043426471962188
takoyaki,2,434,7.1222479725213645,1.6010213809090137
tamale,1,226,7.294932065811833,1.5400645831225754
tamale,2,244,7.241568371897838,1.5804167138951817
tamale,3,9,6.038253135151333,2.553145611927655
tandoori_chicken,1,25,6.879732990264893,1.6715725915752475
tandoori_chicken,2,440,7.044278298453851,1.720264826298981
tandoori_chicken,3,14,7.67490257535662,0.668429663161439
tapas,1,7,7.71330281666347,0.8541268031594835
tapas,2,382,7.44790566279626,1.1600440447153255
tapas,3,94,7.13348323487221,1.4935330980323507
tapas,4,10,7.822536182403565,0.3057541981843199
tempura,1,20,7.273038578033447,1.3591096246444445
tempura,2,423,6.885152933727201,1.8236689157893917
tempura,3,36,7.498995939890544,1.0695433112518857
teriyaki,1,96,6.496038636813561,2.178359058908861
teriyaki,2,348,6.770673739841615,1.9433815503127763
teriyaki,3,11,6.484682126478716,2.3359235537608924
thai_iced_tea,1,114,7.148364316998866,1.5842667180554622
thai_iced_tea,2,365,7.2392132465153525,1.510350567091861
tikka_masala,1,40,6.063919633626938,2.384644489782648
tikka_masala,2,437,7.195839697218051,1.66619622109442
tiramisu,1,34,7.814285671009737,0.4002664230486002
tiramisu,2,366,7.451353926150525,1.3494004745300816
tiramisu,3,77,7.201715967871926,1.4470219193355025
tom_kha,1,33,6.922278967770663,1.9156840702701934
tom_kha,2,446,7.223658860798908,1.5723802428614706
tom_yum,1,29,6.844048545278352,1.8770632880651015
tom_yum,2,446,7.07755342192714,1.6483319902159643
tom_yum,3,8,7.794845938682556,0.49246150370017844
tteokbokki,1,63,7.050344391474648,1.5490425735556004
tteokbokki,2,377,6.864642679533212,1.7645291365168405
tteokbokki,3,26,6.68044604246433,1.9694476786129906
udon,1,28,7.156183625970568,1.3509171299538942
udon,2,438,6.919094787068563,1.824841233606853
udon,3,10,6.9058136463165285,1.3204522159613692
vindaloo,1,20,6.337073588371277,1.7670107039755536
vindaloo,2,441,7.350275446768521,1.462171652832444
vindaloo,3,21,7.571046261560349,1.2138082959597132
waffle,1,101,7.100860579179065,1.6538741074078844
waffle,2,368,7.3497683771926425,1.3605290140066315
waffle,3,17,6.814050702487721,1.925699796843491
wonton_soup,1,98,6.28977344474014,2.1144126707619955
wonton_soup,2,382,6.890864731441618,1.8670026598363423
xiao_long_bao,1,15,7.158945147196452,1.488744410437099
xiao_long_bao,2,450,7.104803130891588,1.6177664279553925
yakitori,1,27,7.351229641172621,1.2509458051829379
yakitori,2,444,6.824763778093699,1.8297204944091392
yakitori,3,11,7.129165280948985,1.6593146872517093
