dish_id,cuisine,H_mean,E_composite,log_DEI,NDI,log_NDI,log_DEI_N,calorie_kcal,protein_g,meal_role,rank_DEI,rank_DEI_N,rank_shift_N,is_pareto_3d
bak_kut_teh,Indonesian,6.878615935643514,0.2194583776857819,3.445010147309665,6.223887922001129,1.8283947793233915,4.35920753697136,516.75,56.290000000000006,Full Main,161.0,131.0,-30,False
pancake,American,7.162,0.1740145033925502,3.717405901986755,3.5763263454288983,1.2743361130547457,4.354573958514128,569.95,17.735000000000003,Full Main,96.0,132.0,36,False
banh_xeo,Vietnamese,7.15713390524202,0.1938191426312755,3.608939417486374,4.431735724987822,1.488791318828625,4.353335076900687,521.94,27.588,Full Main,124.0,133.0,9,False
saganaki,Greek,7.515136818408966,0.2233837961242186,3.515783157075368,5.304538288219443,1.6685627349549421,4.350064524552839,637.3000000000001,26.61,Full Main,142.0,134.0,-8,False
mafe,African,7.035953159685488,0.1927050992098769,3.5976274116197264,4.482504214524655,1.5001818667141447,4.347718344976799,802.3000000000001,53.449999999999996,Heavy Main,125.0,135.0,10,False
quesadilla,Mexican,6.777,0.2259953170821839,3.4007755269538,6.619688171946806,1.8900482649039638,4.345799659405782,677.4000000000001,41.505,Full Main,173.0,136.0,-37,False
bacalhau,Portuguese,7.5148088194660305,0.2658607847000939,3.3416580560164304,7.39875087130718,2.0013111847868967,4.3423136484098785,457.3,41.510000000000005,Full Main,191.0,137.0,-54,False
nasi_padang,Indonesian,7.552051991224289,0.2257431782942434,3.5101766183579977,5.189403331676823,1.646618725573984,4.33348598114499,624.1500000000001,38.000000000000014,Full Main,144.0,138.0,-6,False
mole,Mexican,7.297361541509629,0.2340693241587429,3.439650800563158,5.91632197820978,1.7777149683523175,4.328508284739316,673.8,58.08,Full Main,164.0,139.0,-25,False
roti_caribbean,Caribbean,6.949023997545242,0.1967827292452522,3.564256273822399,4.544869051765605,1.5139989157216671,4.321255731683232,870.0,43.31,Heavy Main,134.0,140.0,6,False
currywurst,German,7.558553283555167,0.2231653503153459,3.522522108318476,4.8872502914073355,1.5866298327341242,4.315837024685538,562.9,29.32,Full Main,140.0,141.0,1,False
jollof_rice,African,7.308565909765204,0.2133692450734617,3.533778141722461,4.772464303034488,1.5628627968694129,4.315209540157168,655.0500000000001,31.370000000000005,Full Main,139.0,142.0,3,False
risotto,Italian,7.082,0.1798937436216193,3.672945269298309,3.5798901204952163,1.27533210734248,4.310611322969549,502.4,15.500000000000002,Full Main,106.0,143.0,37,False
vindaloo,Indian,7.325,0.2360593776690798,3.434965060212993,5.759459373364141,1.7508436115118402,4.310386865968913,718.89,58.352,Heavy Main,167.0,144.0,-23,False
ramen,Japanese,6.942,0.1942964691225439,3.5759600125012225,4.330287221753668,1.465633872782979,4.308776948892712,784.5500000000001,45.43,Heavy Main,132.0,145.0,13,False
pasta_carbonara,Italian,7.116,0.20538029673412,3.545237682211284,4.5580698552422705,1.5168992565599955,4.303687310491282,978.2199999999999,56.308,Heavy Main,138.0,146.0,8,False
lagman,Central Asian,7.689214006066322,0.2345345114302771,3.489971100065345,5.085214597079004,1.6263372305921497,4.303139715361421,958.7500000000001,41.05,Heavy Main,149.0,147.0,-2,False
waffle,American,7.266,0.1785825277098203,3.705910378296673,3.2753478270554166,1.1864240701821576,4.299122413387752,625.15,17.78,Full Main,100.0,148.0,48,False
doro_wot,African,7.359909827381261,0.2313390511602135,3.459918571569233,5.351120781701995,1.6773060308744647,4.298571587006466,703.7,57.40000000000002,Heavy Main,158.0,149.0,-9,False
fajita,Mexican,6.671,0.2319769200463485,3.3588871685507664,6.381816291105724,1.8534527419678661,4.285613539534699,595.3000000000001,41.99,Full Main,186.0,150.0,-36,False
