family,dish_1,dish_2,H_1,H_2,H_diff,n_1,n_2,t_stat,p_value,cohens_d,effect_category,significant_005,significant_bonf
Noodle/Pasta,chow_mein,lo_mein,6.050800094127655,6.505016119241715,0.4542160251140599,500,500,3.2360215485056743,0.0012522257911894764,0.2046639730132596,small,True,False
Noodle/Pasta,chow_mein,pad_thai,6.050800094127655,6.77723597407341,0.7264358799457549,500,500,5.366393022739005,1.0045984876773606e-07,0.33940049542982037,small,True,True
Noodle/Pasta,chow_mein,pasta_bolognese,6.050800094127655,7.057850429296494,1.007050335168839,500,500,7.792190176534705,1.7631790341281905e-14,0.492821378380784,small,True,True
Noodle/Pasta,chow_mein,pasta_carbonara,6.050800094127655,7.11599924993515,1.0651991558074956,500,500,8.289165970640926,4.0161534181395105e-16,0.5242528874077149,medium,True,True
Noodle/Pasta,chow_mein,ramen,6.050800094127655,6.941901822805405,0.8911017286777501,500,500,6.790305021644303,1.9765518938093956e-11,0.42945659751349885,small,True,True
Noodle/Pasta,dan_dan_noodles,lasagna,7.242503416776657,6.88505160856247,0.3574518082141873,500,500,3.341481961690971,0.0008664515274286209,0.21133387518621938,small,True,True
Noodle/Pasta,dan_dan_noodles,lo_mein,7.242503416776657,6.505016119241715,0.7374872975349422,500,500,6.411910429488265,2.3412601744357335e-10,0.40552482220342756,small,True,True
Noodle/Pasta,dan_dan_noodles,pad_thai,7.242503416776657,6.77723597407341,0.46526744270324727,500,500,4.273730253957249,2.122632318096788e-05,0.27029443415349486,small,True,True
Noodle/Pasta,dan_dan_noodles,pasta_bolognese,7.242503416776657,7.057850429296494,0.18465298748016323,500,500,1.8256398939393803,0.06821285063245668,0.11546360504233344,negligible,False,False
Noodle/Pasta,dan_dan_noodles,pasta_carbonara,7.242503416776657,7.11599924993515,0.12650416684150656,500,500,1.2624485514283694,0.2070902616696228,0.07984425702587727,negligible,False,False
Noodle/Pasta,dan_dan_noodles,ramen,7.242503416776657,6.941901822805405,0.3006015939712521,500,500,2.8993548324847516,0.0038251986871488393,0.18337130031335527,negligible,True,False
Noodle/Pasta,lasagna,lo_mein,6.88505160856247,6.505016119241715,0.3800354893207549,500,500,2.978751196919701,0.00296512664592203,0.1883927673043798,negligible,True,False
Noodle/Pasta,lasagna,pad_thai,6.88505160856247,6.77723597407341,0.10781563448905995,500,500,0.8832609083732237,0.37730818984580183,0.05586232477297349,negligible,False,False
Noodle/Pasta,lasagna,pasta_bolognese,6.88505160856247,7.057850429296494,0.17279882073402408,500,500,1.4995882633870774,0.13403998663397376,0.094842289295193,negligible,False,False
Noodle/Pasta,lasagna,pasta_carbonara,6.88505160856247,7.11599924993515,0.23094764137268076,500,500,2.018638138172523,0.0437949703565188,0.1276698857661372,negligible,True,False
Noodle/Pasta,lasagna,ramen,6.88505160856247,6.941901822805405,0.05685021424293524,500,500,0.48398889705204423,0.6285002004041377,0.03061014553834426,negligible,False,False
Noodle/Pasta,lo_mein,pad_thai,6.505016119241715,6.77723597407341,0.272219854831695,500,500,2.1073999765182005,0.03533358493393075,0.13328367733565746,negligible,True,False
Noodle/Pasta,lo_mein,pasta_bolognese,6.505016119241715,7.057850429296494,0.552834310054779,500,500,4.504286034000228,7.478641577831545e-06,0.28487606200654697,small,True,True
Noodle/Pasta,lo_mein,pasta_carbonara,6.505016119241715,7.11599924993515,0.6109831306934357,500,500,5.00959272585175,6.497437271124017e-07,0.31683446327006004,small,True,True
Noodle/Pasta,lo_mein,ramen,6.505016119241715,6.941901822805405,0.43688570356369016,500,500,3.49978662230158,0.0004867285916292756,0.2213459410212087,small,True,True
Noodle/Pasta,pad_thai,pasta_bolognese,6.77723597407341,7.057850429296494,0.28061445522308404,500,500,2.3986166503563098,0.016642399322838425,0.15170183697459333,negligible,True,False
Noodle/Pasta,pad_thai,pasta_carbonara,6.77723597407341,7.11599924993515,0.3387632758617407,500,500,2.9158637180440787,0.0036278425322341526,0.184415413913326,negligible,True,False
Noodle/Pasta,pad_thai,ramen,6.77723597407341,6.941901822805405,0.1646658487319952,500,500,1.381562044158206,0.16741727920620023,0.0873776557675611,negligible,False,False
Noodle/Pasta,pasta_bolognese,pasta_carbonara,7.057850429296494,7.11599924993515,0.05814882063865667,500,500,0.533591614309083,0.5937429563615199,0.033747296831655914,negligible,False,False
Noodle/Pasta,pasta_bolognese,ramen,7.057850429296494,6.941901822805405,0.11594860649108885,500,500,1.0336089926370338,0.30156981690176654,0.0653711725353047,negligible,False,False
Noodle/Pasta,pasta_carbonara,ramen,7.11599924993515,6.941901822805405,0.17409742712974552,500,500,1.563759082560563,0.11819220855901165,0.09890080825333337,negligible,False,False
Soup,clam_chowder,french_onion_soup,6.857696507453919,7.064659948348999,0.20696344089508045,500,500,1.7963289563905518,0.07274656225262756,0.1136098185821484,negligible,False,False
Soup,clam_chowder,gazpacho,6.857696507453919,7.436058485031128,0.5783619775772095,500,500,5.674561154133998,1.892786336179705e-08,0.3588907593795447,small,True,True
